Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
1.26078, IMU_DATA, 0.520625, -0.818125, -0.091875, 16389, -11, -414, , , , , 
1.26558, IMU_DATA, 0.46375, -0.800625, -0.07875, 16376, 0, -434, , , , , 
1.27038, IMU_DATA, 0.450625, -0.783125, -0.091875, 16389, 3, -415, , , , , 
1.27518, IMU_DATA, 0.336875, -0.625625, -0.109375, 16400, -11, -438, , , , , 
1.20648, IMG_DATA, , , , , , , , , , Image_00012 
1.27998, IMU_DATA, 0.37625, -0.5425, -0.109375, 16373, -25, -413, , , , , 
1.28478, IMU_DATA, 0.538125, -0.695625, -0.144375, 16369, -30, -378, , , , , 
1.28958, IMU_DATA, 0.546875, -0.774375, -0.109375, 16364, -6, -406, , , , , 
1.29438, IMU_DATA, 0.520625, -0.704375, -0.07, 16360, -14, -416, , , , , 
1.29918, IMU_DATA, 0.49875, -0.695625, -0.065625, 16367, -14, -421, , , , , 
1.30398, IMU_DATA, 0.49875, -0.74375, -0.109375, 16370, -5, -398, , , , , 
1.30878, IMU_DATA, 0.503125, -0.730625, -0.11375, 16389, -20, -390, , , , , 
1.31358, IMU_DATA, 0.49875, -0.7, -0.091875, 16365, 1, -397, , , , , 
1.31838, IMU_DATA, 0.538125, -0.730625, -0.100625, 16366, 4, -407, , , , , 
1.32318, IMU_DATA, 0.49, -0.7, -0.13125, 16372, -28, -381, , , , , 
1.32798, IMU_DATA, 0.511875, -0.74375, -0.144375, 16350, -43, -395, , , , , 
1.33278, IMU_DATA, 0.5425, -0.739375, -0.11375, 16378, -11, -412, , , , , 
1.33758, IMU_DATA, 0.581875, -0.72625, -0.11375, 16378, -7, -395, , , , , 
1.34238, IMU_DATA, 0.485625, -0.616875, -0.153125, 16393, 7, -421, , , , , 
1.34718, IMU_DATA, 0.41125, -0.669375, -0.18375, 16358, -12, -419, , , , , 
1.35198, IMU_DATA, 0.398125, -0.730625, -0.109375, 16386, -35, -389, , , , , 
1.35678, IMU_DATA, 0.520625, -0.844375, -0.074375, 16400, -13, -405, , , , , 
1.36158, IMU_DATA, 0.51625, -0.91, -0.0875, 16398, 0, -393, , , , , 
1.36638, IMU_DATA, 0.4025, -0.704375, -0.048125, 16399, 4, -375, , , , , 
1.37118, IMU_DATA, 0.39375, -0.625625, -0.02625, 16402, 1, -383, , , , , 
1.37598, IMU_DATA, 0.35, -0.564375, -0.00875, 16376, -12, -384, , , , , 
1.38078, IMU_DATA, 0.371875, -0.55125, -0.0875, 16410, 0, -378, , , , , 
1.30647, IMG_DATA, , , , , , , , , , Image_00013 
1.38558, IMU_DATA, 0.49, -0.63875, -0.126875, 16373, -34, -380, , , , , 
