Timestamp, Data_type, Gyro x, Gyro y, Gyro z, Accel x, Accel y, Accel z, Filter yaw, Filter pitch, Filter roll, Image_name 
17, IMG_DATA, , , , , , , , , , Image_00000 
1.51708e+06, IMU_DATA, 120, -174, -17, 53, 16267, -788, , , , , 
1.52188e+06, IMU_DATA, 121, -174, -15, 59, 16266, -808, , , , , 
1.52668e+06, IMU_DATA, 124, -164, -15, 35, 16275, -796, , , , , 
1.53148e+06, IMU_DATA, 124, -159, -19, 69, 16272, -781, , , , , 
1.53628e+06, IMU_DATA, 129, -157, -23, 60, 16293, -792, , , , , 
1.54108e+06, IMU_DATA, 125, -177, -24, 60, 16258, -798, , , , , 
1.54588e+06, IMU_DATA, 120, -181, -33, 38, 16277, -805, , , , , 
1.55068e+06, IMU_DATA, 114, -165, -36, 39, 16274, -772, , , , , 
1.55548e+06, IMU_DATA, 110, -180, -28, 46, 16256, -794, , , , , 
1.56028e+06, IMU_DATA, 125, -205, -29, 55, 16258, -790, , , , , 
1.56508e+06, IMU_DATA, 113, -156, -20, 72, 16275, -802, , , , , 
1.56988e+06, IMU_DATA, 93, -126, -5, 86, 16286, -806, , , , , 
